meal_name,Calories,Proteins,Carbs,Fats,sugar_g,diet_type
Other,3283.0,121.42,305.83,81.44,37.1,Vegetarian
Other,1994.0,82.88,208.12,54.88,5.18,Balanced
Other,1476.0,97.9,244.61,64.59,6.03,Low-Carb
Other,2486.0,98.97,244.82,65.21,36.83,Low-Carb
Other,2552.0,113.86,285.55,75.91,36.1,Balanced
Other,3093.0,76.4,191.22,50.71,42.85,Keto
Other,1872.0,124.54,308.57,83.24,31.15,Balanced
Other,1616.0,101.29,252.91,67.92,42.27,Low-Carb
Other,2792.0,105.74,265.72,71.16,31.63,Low-Carb
Other,1838.0,89.78,222.26,58.77,28.77,Vegan
Other,3172.0,105.78,263.15,71.04,13.54,Vegan
Other,1516.0,122.69,301.82,80.94,13.07,Low-Carb
Other,3297.0,100.98,252.98,67.55,24.12,Keto
Other,2733.0,98.54,245.88,65.54,16.59,Balanced
Other,1875.0,68.22,172.75,45.76,0.0,Balanced
Other,1797.0,112.24,280.18,74.75,37.75,Keto
Other,2205.0,101.55,254.83,67.79,22.99,Paleo
Other,2739.0,110.54,274.56,73.43,45.69,Balanced
Other,1851.0,115.88,287.28,76.71,25.39,Low-Carb
Other,2126.0,90.23,223.01,59.92,38.68,Vegan
Other,2560.0,78.48,192.58,51.64,6.47,Low-Carb
Other,1704.0,131.7,328.35,87.75,3.72,Vegetarian
Other,1793.0,124.21,311.65,82.71,2.22,Low-Carb
Other,1766.0,87.36,217.85,57.89,4.88,Paleo
Other,1892.0,74.56,186.12,49.87,1.58,Paleo
Other,2380.0,65.02,162.65,43.52,50.29,Vegetarian
Other,2725.0,106.42,264.77,70.43,24.94,Balanced
Other,2355.0,99.78,249.5,66.79,7.24,Low-Carb
Other,1335.0,114.13,285.19,75.8,34.6,Balanced
Other,1456.0,93.87,232.7,62.07,9.54,Paleo
Other,1785.0,171.09,426.93,114.22,41.21,Balanced
Other,1695.0,87.45,219.63,59.01,18.13,Low-Carb
Other,3163.0,99.52,253.34,67.46,31.11,Vegan
Other,2287.0,102.22,257.27,68.2,30.37,Low-Carb
Other,1483.0,77.02,191.17,51.15,43.23,Balanced
Other,1687.0,81.36,203.72,54.38,17.89,Keto
Other,1567.0,147.1,367.82,98.02,11.74,Low-Carb
Other,1353.0,115.96,290.39,77.05,29.31,Vegan
Other,3277.0,83.61,207.54,54.86,34.91,Keto
Other,1912.0,93.95,235.87,63.42,25.47,Vegetarian
Other,3253.0,118.46,296.72,78.96,3.58,Low-Carb
Other,2013.0,90.59,225.88,60.99,12.58,Vegetarian
Other,2436.0,145.35,361.39,96.91,47.54,Vegetarian
Other,1436.0,75.59,189.44,50.17,48.64,Paleo
Other,2328.0,76.78,191.83,51.68,15.82,Keto
Other,2400.0,145.63,361.84,96.64,47.37,Low-Carb
Other,1962.0,123.08,308.4,82.47,16.43,Keto
Other,2015.0,110.18,272.2,73.49,14.13,Vegetarian
Other,1670.0,101.75,254.04,67.46,36.76,Vegan
Other,2711.0,88.99,222.74,59.34,30.13,Balanced
Other,1956.0,134.47,334.73,89.5,39.52,Vegetarian
Other,2778.0,106.54,263.11,70.5,25.09,Vegetarian
Other,2545.0,101.11,251.51,67.2,48.21,Low-Carb
Other,1814.0,90.37,226.55,60.47,39.01,Low-Carb
Other,3142.0,83.24,206.89,55.37,40.43,Vegetarian
Other,1792.0,81.09,203.04,54.0,1.32,Keto
Other,2733.0,141.88,355.54,94.74,26.62,Low-Carb
Other,1677.0,88.52,222.86,59.52,26.93,Keto
Other,3085.0,123.03,306.79,81.98,2.07,Low-Carb
Other,1139.0,100.91,251.23,67.11,15.4,Vegan
Other,2317.0,90.49,226.93,60.75,5.76,Paleo
Other,1739.0,120.28,303.0,80.29,20.01,Vegetarian
Other,2599.0,114.12,285.97,75.89,21.05,Vegan
Other,1857.0,72.63,180.86,48.23,10.37,Keto
Other,2756.0,97.46,243.18,64.93,19.97,Vegetarian
Other,2989.0,110.92,278.16,74.32,17.46,Keto
Other,1986.0,114.54,285.63,76.4,42.59,Vegetarian
Other,2647.0,97.03,241.68,64.31,11.38,Keto
Other,1339.0,123.2,309.34,81.59,45.81,Paleo
Other,1543.0,110.4,275.65,74.11,41.41,Keto
Other,1749.0,100.04,249.97,66.87,46.67,Vegan
Other,3401.0,93.56,232.6,62.28,17.91,Vegan
Other,1363.0,70.4,177.18,47.36,9.84,Paleo
Other,1820.0,131.05,328.02,87.62,37.89,Low-Carb
Other,2270.0,120.03,301.58,80.79,33.62,Balanced
Other,1634.0,97.95,241.34,64.74,3.87,Paleo
Other,2472.0,70.6,176.25,47.37,26.27,Vegetarian
Other,1788.0,115.37,287.64,76.75,11.98,Paleo
Other,1972.0,80.41,201.94,53.45,13.7,Paleo
Other,1700.0,95.09,240.81,63.86,34.78,Keto
Other,1740.0,125.29,311.79,83.86,40.52,Keto
Other,1900.0,86.82,217.85,57.91,36.04,Keto
Other,1783.0,80.86,206.71,54.69,36.83,Balanced
Other,1577.0,131.51,329.93,88.15,4.27,Vegan
Other,1806.0,99.9,249.62,66.72,9.64,Paleo
Other,1518.0,114.66,289.28,77.03,34.56,Balanced
Other,2830.0,107.41,268.27,72.15,45.19,Low-Carb
Other,1904.0,78.4,197.18,52.43,20.74,Keto
Other,2803.0,104.84,263.47,71.0,24.94,Low-Carb
Other,2318.0,65.52,165.45,43.62,24.94,Paleo
Other,1300.0,88.32,223.82,59.21,3.01,Vegetarian
Other,2363.0,98.95,245.75,65.3,33.44,Vegan
Other,1100.0,89.19,223.65,60.04,3.47,Vegetarian
Other,1687.0,123.18,311.57,82.58,43.14,Paleo
Other,1530.0,92.38,233.27,61.39,30.67,Vegan
Other,2525.0,120.38,300.44,80.3,0.34,Vegan
Other,1407.0,107.86,270.96,72.39,30.08,Vegan
Other,2031.0,73.38,183.58,49.17,19.33,Keto
Other,2200.0,113.0,282.35,75.43,13.2,Vegan
Other,1821.0,103.14,259.44,68.57,41.79,Keto
Other,1850.0,82.3,207.81,55.19,39.13,Vegetarian
Other,1919.0,100.37,249.11,66.04,28.45,Keto
Other,1361.0,96.75,243.6,64.07,24.16,Vegetarian
Other,3067.0,85.74,216.39,57.77,0.3,Vegetarian
Other,1857.0,86.71,218.37,57.55,35.74,Balanced
Other,3252.0,70.31,173.03,46.57,13.15,Balanced
Other,3163.0,113.02,280.62,75.36,49.02,Vegan
Other,2353.0,112.35,281.0,75.11,19.62,Paleo
Other,2202.0,113.1,283.32,75.17,12.85,Vegan
Other,1323.0,167.22,420.57,112.16,32.28,Low-Carb
Other,2359.0,92.85,233.15,61.96,16.9,Vegan
Other,1599.0,75.52,191.41,51.1,41.36,Balanced
Other,1788.0,63.19,159.59,42.41,4.96,Vegan
Other,1479.0,109.37,274.39,72.88,21.97,Low-Carb
Other,1337.0,82.47,209.0,54.39,8.58,Vegetarian
Other,1832.0,111.85,281.96,75.23,4.88,Keto
Other,2948.0,61.56,153.09,40.93,1.64,Vegan
Other,1980.0,103.72,259.78,69.89,33.72,Paleo
Other,1787.0,119.63,298.18,79.49,49.87,Paleo
Other,2071.0,89.29,221.35,59.35,15.54,Paleo
Other,1699.0,117.12,293.29,78.86,17.79,Vegan
Other,2047.0,83.79,205.53,55.11,39.63,Balanced
Other,1344.0,84.05,206.22,55.22,27.32,Keto
Other,1418.0,72.37,180.46,48.06,18.79,Vegan
Other,1659.0,103.84,256.84,69.06,25.94,Low-Carb
Other,1713.0,156.34,393.44,104.55,38.17,Vegan
Other,1319.0,97.15,241.54,65.21,14.74,Keto
Other,1653.0,98.29,243.38,65.46,41.51,Low-Carb
Other,2341.0,113.8,281.99,75.01,21.28,Vegetarian
Other,2118.0,76.19,191.54,51.6,28.72,Low-Carb
Other,2333.0,78.96,195.85,52.92,28.42,Vegetarian
Other,2226.0,95.96,237.74,63.87,45.38,Balanced
Other,2438.0,122.32,306.57,81.26,32.25,Keto
Other,1470.0,84.52,208.92,55.83,15.56,Paleo
Other,1423.0,111.64,277.79,73.76,31.34,Low-Carb
Other,2961.0,96.73,244.62,63.98,31.84,Balanced
Other,3194.0,71.13,176.04,47.27,49.65,Vegan
Other,1355.0,111.47,281.43,75.07,46.11,Vegetarian
Other,2626.0,86.93,217.09,57.76,46.32,Low-Carb
Other,2515.0,84.14,211.94,56.72,-0.21,Balanced
Other,1566.0,129.51,323.48,86.76,19.08,Vegan
Other,2339.0,60.34,151.59,40.29,31.77,Keto
Other,2438.0,86.9,218.53,57.64,41.12,Vegetarian
Other,3296.0,118.47,294.76,79.31,10.56,Low-Carb
Other,1794.0,86.92,215.71,57.84,10.97,Vegetarian
Other,1617.0,95.67,239.09,63.84,42.34,Balanced
Other,2706.0,116.41,291.47,77.54,20.29,Low-Carb
Other,1263.0,96.82,241.87,64.65,14.64,Paleo
Other,1867.0,93.27,235.94,62.24,10.69,Vegan
Other,1746.0,155.22,387.9,103.72,8.35,Balanced
Other,1758.0,78.92,196.66,52.63,39.48,Low-Carb
Other,2718.0,111.84,282.44,75.42,21.3,Vegan
Other,1660.0,89.01,221.8,59.6,35.92,Paleo
Other,2003.0,103.2,257.94,68.34,10.45,Paleo
Other,1701.0,108.54,270.62,72.66,39.86,Paleo
Other,2457.0,79.49,198.74,52.96,46.44,Keto
Other,2140.0,74.43,184.72,49.54,34.58,Balanced
Other,1944.0,97.41,242.39,64.86,46.16,Keto
Other,1502.0,77.96,192.2,51.05,23.81,Balanced
Other,1569.0,72.03,179.8,47.75,49.74,Balanced
Other,1353.0,98.54,249.55,66.14,24.74,Balanced
Other,2329.0,110.24,275.16,72.86,3.73,Balanced
Other,1645.0,87.18,220.24,57.94,2.32,Paleo
Other,1340.0,75.25,188.13,50.42,49.02,Vegan
Other,3364.0,112.69,278.66,74.76,18.26,Paleo
Other,1567.0,82.81,205.88,55.31,14.45,Vegetarian
Other,3261.0,80.12,202.26,53.84,32.88,Low-Carb
Other,1540.0,88.46,220.81,59.11,31.52,Paleo
Other,1359.0,82.26,203.68,55.33,8.71,Keto
Other,1735.0,80.78,202.22,54.2,1.67,Paleo
Other,2470.0,118.58,295.99,79.6,43.71,Low-Carb
Other,2294.0,103.13,258.17,68.58,6.48,Low-Carb
Other,1605.0,87.78,217.81,57.99,16.48,Paleo
Other,1786.0,80.42,199.92,53.61,13.42,Keto
Other,1356.0,123.26,307.3,82.22,6.12,Vegan
Other,2684.0,128.7,320.62,86.15,6.64,Low-Carb
Other,1931.0,86.29,215.71,57.47,45.09,Paleo
Other,1194.0,126.64,315.07,85.22,41.05,Vegetarian
Other,1482.0,107.93,271.15,72.0,31.74,Paleo
Other,2030.0,123.26,308.14,81.93,13.23,Low-Carb
Other,2130.0,69.8,174.73,46.81,46.59,Keto
Other,2789.0,76.6,194.5,52.07,33.01,Vegetarian
Other,2410.0,87.37,217.0,58.44,41.84,Vegan
Other,2449.0,69.17,171.44,46.03,0.59,Low-Carb
Other,2153.0,120.53,302.26,80.26,33.36,Balanced
Other,2078.0,79.96,199.62,53.39,0.25,Balanced
Other,1361.0,94.38,233.28,63.05,18.97,Keto
Other,2147.0,80.88,199.94,53.36,33.57,Keto
Other,2520.0,77.21,192.9,51.26,6.34,Low-Carb
Other,1599.0,84.02,211.91,56.5,13.77,Balanced
Other,1186.0,113.43,282.66,75.62,11.19,Vegetarian
Other,2667.0,97.25,240.49,64.81,20.01,Vegetarian
Other,1717.0,83.33,210.0,55.3,16.09,Vegetarian
Other,2570.0,85.9,216.73,57.48,39.93,Vegetarian
Other,2539.0,102.85,256.34,68.28,30.54,Vegan
Other,1681.0,102.61,255.27,68.6,9.98,Vegetarian
Other,2247.0,63.03,156.94,41.66,7.33,Balanced
Other,1670.0,76.13,191.25,51.14,0.38,Low-Carb
Other,1433.0,90.25,226.45,60.64,25.2,Keto
Other,1547.0,74.11,186.37,48.9,17.38,Balanced
Other,2156.0,124.69,312.71,83.16,42.0,Vegan
Other,2879.0,121.79,304.64,81.7,39.28,Paleo
Other,2268.0,69.84,176.29,47.09,8.08,Low-Carb
Other,2257.0,72.5,180.82,47.82,29.6,Low-Carb
Other,2066.0,122.13,305.22,81.19,33.95,Balanced
Other,1827.0,111.88,279.09,74.41,26.75,Low-Carb
Other,2922.0,101.18,252.04,67.64,49.14,Paleo
Other,2176.0,108.13,267.95,71.87,18.24,Vegetarian
Other,1815.0,73.37,185.57,48.98,19.78,Keto
Other,1771.0,157.12,392.57,104.55,38.24,Balanced
Other,1787.0,94.5,236.78,63.39,25.47,Balanced
Other,1201.0,69.34,173.3,45.73,42.21,Paleo
Other,1366.0,87.79,219.19,58.97,23.96,Balanced
Other,1622.0,132.84,334.06,88.66,38.74,Paleo
Other,2014.0,111.81,279.28,75.04,35.26,Paleo
Other,2075.0,102.53,254.87,67.86,3.14,Balanced
Other,1351.0,133.81,333.89,89.16,47.87,Paleo
Other,1619.0,95.43,237.84,63.6,42.1,Vegetarian
Other,1690.0,93.43,231.62,62.68,14.73,Keto
Other,1382.0,86.9,216.66,57.41,20.0,Low-Carb
Other,2622.0,108.12,268.95,72.57,18.29,Low-Carb
Other,1768.0,72.35,180.31,47.91,32.28,Paleo
Other,2408.0,82.13,205.71,54.88,15.91,Low-Carb
Other,2791.0,96.9,241.75,64.0,11.21,Paleo
Other,2082.0,61.65,155.21,41.38,0.09,Vegetarian
Other,1364.0,120.88,302.84,81.24,32.11,Keto
Other,1787.0,76.99,189.67,50.8,43.53,Low-Carb
Other,2272.0,127.23,315.57,84.7,23.23,Vegetarian
Other,2248.0,98.39,247.19,65.74,20.87,Paleo
Other,1494.0,102.18,256.07,67.95,16.98,Keto
Other,2444.0,78.38,197.86,53.05,14.1,Keto
Other,2427.0,171.2,428.83,115.06,42.58,Low-Carb
Other,2075.0,111.46,276.21,74.56,4.65,Keto
Other,2730.0,105.04,262.83,69.97,9.91,Vegetarian
Other,2352.0,81.62,202.58,53.3,43.56,Balanced
Other,2024.0,109.71,271.94,72.93,35.97,Vegan
Other,1836.0,125.09,314.02,83.07,29.31,Paleo
Other,1982.0,81.68,204.04,54.1,18.48,Paleo
Other,1622.0,83.27,204.06,55.25,48.64,Vegetarian
Other,1577.0,71.92,179.38,47.52,49.78,Keto
Other,3348.0,118.01,294.87,79.18,10.54,Balanced
Other,2105.0,129.06,321.86,86.0,29.63,Balanced
Other,1719.0,67.07,163.66,44.8,3.31,Paleo
Other,1179.0,84.27,210.54,55.95,34.5,Low-Carb
Other,2046.0,70.55,174.31,46.78,11.33,Paleo
Other,1475.0,118.17,296.01,78.85,15.59,Balanced
Other,1582.0,67.71,167.57,45.41,41.21,Low-Carb
Other,1897.0,150.29,373.61,100.33,39.36,Vegan
Other,2135.0,75.91,189.8,50.92,28.37,Vegetarian
Other,2743.0,80.12,200.37,52.8,43.59,Keto
Other,2911.0,71.58,177.87,47.82,46.44,Vegan
Other,1856.0,83.01,208.1,55.17,19.98,Keto
Other,1921.0,86.97,217.68,57.54,10.42,Low-Carb
Other,2173.0,101.33,255.87,68.05,0.23,Vegetarian
Other,1726.0,107.97,270.63,72.0,31.89,Vegan
Other,2315.0,154.2,381.57,101.86,20.53,Low-Carb
Other,1808.0,114.24,286.9,76.1,25.42,Low-Carb
Other,1300.0,128.51,322.62,85.16,30.11,Balanced
Other,1674.0,117.99,296.08,78.7,18.72,Keto
Other,3220.0,87.8,220.19,58.63,3.47,Vegan
Other,2573.0,93.64,235.53,63.13,32.54,Vegan
Other,2649.0,118.18,297.09,79.45,44.0,Vegetarian
Other,2708.0,86.38,216.13,58.06,46.29,Low-Carb
Other,1487.0,93.79,234.59,62.73,10.38,Keto
Other,3358.0,117.78,297.2,79.16,4.45,Keto
Other,2929.0,96.44,241.19,64.36,32.62,Vegetarian
Other,1413.0,76.38,187.04,50.12,48.81,Vegetarian
Other,1513.0,97.83,244.41,65.29,27.51,Vegetarian
Other,2501.0,112.15,279.83,74.82,33.08,Low-Carb
Other,1794.0,82.32,205.09,54.76,6.33,Keto
Other,2471.0,153.56,384.62,102.88,0.79,Keto
Other,2379.0,90.49,226.07,60.16,5.79,Balanced
Other,2390.0,118.93,299.48,80.09,22.59,Low-Carb
Other,1757.0,93.44,230.97,61.91,25.98,Low-Carb
Other,1875.0,110.39,278.28,74.68,11.83,Low-Carb
Other,1753.0,122.18,303.95,81.62,41.72,Keto
Other,1456.0,83.35,207.86,56.46,26.86,Keto
Other,2164.0,111.51,280.85,74.42,26.09,Paleo
Other,2460.0,102.47,256.03,68.43,11.01,Paleo
Other,2371.0,73.32,181.25,48.17,29.99,Vegan
Other,2028.0,79.1,197.96,52.93,7.23,Balanced
Other,1801.0,119.36,299.28,79.6,31.89,Paleo
Other,1973.0,84.59,210.95,56.12,39.76,Balanced
Other,3034.0,157.99,396.79,105.59,48.28,Keto
Other,1074.0,91.6,228.97,60.69,40.66,Paleo
Other,2267.0,71.83,178.05,47.9,37.4,Vegan
Other,2086.0,89.85,221.18,59.13,15.36,Keto
Other,2364.0,98.13,245.01,65.44,29.73,Balanced
Other,2418.0,96.56,241.41,64.2,10.6,Keto
Other,1745.0,108.72,270.73,72.45,19.51,Vegetarian
Other,1254.0,101.07,251.83,67.34,16.18,Paleo
Other,1334.0,122.64,309.74,82.46,26.55,Keto
Other,1159.0,138.14,345.54,92.14,19.89,Low-Carb
Other,1884.0,86.53,214.05,57.35,45.4,Low-Carb
Other,2417.0,109.97,274.59,73.11,10.62,Vegetarian
Other,1125.0,76.39,191.34,51.25,29.85,Low-Carb
Other,1998.0,87.56,217.14,58.18,26.82,Vegetarian
Other,2244.0,121.29,302.02,81.19,37.51,Vegan
Other,2448.0,76.2,190.85,51.13,42.31,Low-Carb
Other,1570.0,71.85,178.78,48.36,28.58,Low-Carb
Other,1474.0,88.75,220.53,58.45,34.81,Vegetarian
Other,1984.0,72.32,180.85,47.85,3.88,Vegan
Other,1830.0,85.78,215.38,57.48,44.82,Low-Carb
Other,1857.0,108.84,271.92,72.33,19.36,Balanced
Other,1818.0,104.8,259.06,69.57,33.36,Low-Carb
Other,2603.0,89.21,225.46,59.87,21.3,Balanced
Other,1368.0,93.52,234.61,62.29,10.46,Vegetarian
Other,3409.0,174.79,433.58,115.98,15.2,Keto
Other,1607.0,126.88,315.96,84.26,37.47,Paleo
Other,1839.0,155.49,388.71,103.84,0.66,Keto
Other,1987.0,133.35,332.59,88.62,15.78,Low-Carb
Other,2360.0,79.04,198.26,52.53,16.76,Paleo
Other,2722.0,97.53,244.73,64.94,43.92,Vegetarian
Other,3391.0,78.33,197.58,52.68,37.56,Balanced
Other,3280.0,118.54,297.47,78.55,7.09,Balanced
Other,2313.0,101.3,256.02,68.04,8.94,Vegan
Other,2254.0,77.89,194.36,52.12,14.8,Vegetarian
Other,1328.0,91.79,230.86,61.61,22.75,Vegetarian
Other,1582.0,119.96,298.51,79.18,18.73,Paleo
Other,3054.0,79.91,199.69,52.72,1.96,Low-Carb
Other,2154.0,103.33,257.54,68.19,22.77,Vegetarian
Other,2665.0,113.93,283.79,75.75,11.09,Balanced
Other,1564.0,122.65,306.81,81.99,48.76,Balanced
Other,1255.0,116.47,292.16,76.9,4.21,Keto
Other,2083.0,111.09,278.39,75.31,5.12,Balanced
Other,2210.0,96.99,241.64,64.82,38.97,Balanced
Other,1314.0,139.45,351.28,92.84,49.06,Vegan
Other,1319.0,113.7,284.26,75.28,49.69,Low-Carb
Other,2679.0,64.7,160.48,42.86,44.2,Vegetarian
Other,2109.0,101.39,254.02,67.44,4.54,Vegan
Other,1703.0,121.34,301.05,80.54,19.39,Low-Carb
Other,1890.0,133.28,335.99,89.45,38.98,Vegan
Other,1873.0,84.6,208.94,55.45,4.45,Low-Carb
Other,2539.0,86.89,216.58,57.39,23.15,Low-Carb
Other,1816.0,117.02,294.13,78.47,40.09,Keto
Other,1831.0,98.06,243.24,64.78,21.77,Balanced
Other,1685.0,91.47,230.93,61.9,16.09,Paleo
Other,2546.0,85.61,213.54,57.59,29.39,Vegetarian
Other,3322.0,65.2,162.83,43.67,18.86,Low-Carb
Other,1787.0,126.45,315.32,85.06,37.32,Balanced
Other,1618.0,91.02,225.22,60.23,39.06,Vegan
Other,2890.0,85.46,217.01,56.86,21.63,Balanced
Other,1972.0,74.3,188.24,49.74,1.29,Keto
Other,1749.0,95.35,239.44,63.88,34.28,Balanced
Other,2871.0,113.85,284.55,76.45,36.41,Keto
Other,1481.0,94.39,235.64,63.27,39.28,Low-Carb
Other,1716.0,86.9,216.74,57.63,15.04,Vegetarian
Other,2543.0,111.91,280.62,74.52,32.75,Vegetarian
Other,2223.0,111.98,280.08,74.36,40.55,Keto
Other,1377.0,90.3,226.83,60.32,25.16,Balanced
Other,1750.0,79.44,199.63,53.07,19.5,Balanced
Other,2926.0,98.21,245.01,65.24,16.63,Paleo
Other,1744.0,122.2,304.41,81.61,2.07,Balanced
Other,1691.0,82.42,206.97,55.6,23.95,Low-Carb
Other,1549.0,114.04,284.64,76.21,36.66,Balanced
Other,2572.0,113.58,285.67,75.74,11.54,Keto
Other,2739.0,93.16,233.38,62.04,34.46,Low-Carb
Other,2266.0,83.88,212.18,56.8,46.08,Balanced
Other,1331.0,108.23,272.72,71.59,29.39,Keto
Other,2579.0,64.28,160.5,42.54,43.67,Vegetarian
Other,1772.0,96.82,246.27,65.48,7.24,Vegan
Other,1124.0,133.08,332.2,88.4,10.57,Vegetarian
Other,2167.0,112.63,281.04,75.52,1.88,Low-Carb
Other,2906.0,93.49,233.05,62.39,36.1,Keto
Other,1790.0,101.09,252.46,67.65,7.75,Vegan
Other,3274.0,93.36,231.55,61.88,39.67,Vegetarian
Other,2084.0,84.99,212.57,56.71,18.53,Vegan
Other,1372.0,120.67,301.87,79.93,46.85,Low-Carb
Other,1535.0,80.82,202.55,53.95,46.16,Low-Carb
Other,2066.0,85.02,213.82,56.59,19.59,Low-Carb
Other,1316.0,114.6,288.31,77.11,12.96,Vegetarian
Other,1747.0,102.05,254.77,67.85,32.33,Keto
Other,2009.0,118.5,295.41,79.19,4.48,Paleo
Other,2395.0,100.81,253.75,67.28,13.33,Vegan
Other,1458.0,96.78,241.58,64.08,45.53,Paleo
Other,1929.0,119.06,299.84,79.38,49.99,Vegan
Other,3305.0,100.65,253.81,67.55,24.22,Vegan
Other,1196.0,118.97,299.26,79.22,19.99,Paleo
Other,2186.0,78.53,195.14,53.12,28.26,Vegan
Other,1603.0,78.84,198.37,52.66,37.44,Balanced
Other,2566.0,142.72,354.88,94.71,26.73,Vegetarian
Other,2255.0,79.21,197.27,52.45,16.66,Keto
Other,3277.0,97.15,244.19,65.31,42.08,Low-Carb
Other,1823.0,86.27,212.78,56.96,43.15,Low-Carb
Other,2615.0,80.01,198.88,52.57,46.73,Vegan
Other,2468.0,76.11,190.28,50.74,28.48,Balanced
Other,2140.0,114.5,284.2,76.4,34.2,Vegan
Other,1616.0,88.17,221.52,59.01,5.68,Balanced
Other,1713.0,108.6,271.09,72.43,40.41,Paleo
Other,2340.0,152.74,379.97,101.41,19.76,Balanced
Other,1793.0,98.99,249.41,66.49,23.23,Balanced
Other,2615.0,70.22,176.69,46.89,29.75,Paleo
Other,1759.0,88.63,220.17,58.61,28.4,Low-Carb
Other,1956.0,108.4,268.85,72.19,33.67,Vegan
Other,1685.0,131.19,328.56,87.57,36.6,Balanced
Other,1295.0,113.24,284.86,76.07,49.75,Paleo
Other,1761.0,81.38,201.45,54.0,45.75,Vegetarian
Other,2859.0,83.89,208.81,56.48,21.99,Vegan
Other,1311.0,133.34,333.08,88.68,47.44,Paleo
Other,1314.0,102.45,255.46,68.29,17.83,Balanced
Other,3138.0,82.37,204.73,54.79,22.9,Keto
Other,1519.0,77.98,197.04,52.28,18.76,Vegan
Other,1331.0,96.8,243.2,65.32,45.86,Paleo
Other,1871.0,110.45,276.06,73.48,18.04,Paleo
Other,1814.0,108.39,271.58,71.79,40.33,Balanced
Other,2236.0,109.0,275.18,72.96,14.0,Low-Carb
Other,2416.0,72.83,179.92,47.92,30.11,Vegan
Other,1855.0,107.77,269.99,72.36,34.33,Vegetarian
Other,1877.0,88.95,223.73,59.49,35.88,Paleo
Other,2301.0,105.91,264.14,70.82,1.59,Vegan
Other,2150.0,120.9,303.71,80.35,10.97,Paleo
Other,2427.0,81.79,202.47,53.87,3.14,Vegetarian
Other,2023.0,88.24,219.28,58.49,5.21,Vegan
Other,3471.0,122.48,307.77,81.78,44.67,Balanced
Other,1690.0,92.49,228.11,61.57,25.4,Vegan
Other,1846.0,93.39,233.85,62.51,8.74,Keto
Other,1136.0,95.74,239.1,63.73,43.61,Keto
Other,1787.0,91.86,227.86,61.14,31.99,Keto
Other,1414.0,75.01,189.78,50.26,49.1,Balanced
Other,1728.0,68.08,168.99,45.76,-0.09,Vegetarian
Other,2994.0,93.72,235.76,62.85,23.16,Keto
Other,1888.0,93.94,233.02,61.96,37.9,Keto
Other,2610.0,125.83,312.89,83.43,31.21,Vegetarian
Other,1848.0,117.72,296.82,78.83,41.61,Vegan
Other,2393.0,92.7,232.58,62.69,12.57,Vegan
Other,3331.0,118.1,294.53,78.65,10.76,Keto
Other,2102.0,104.35,259.15,69.04,8.14,Vegan
Other,1861.0,112.18,281.63,74.69,37.44,Vegetarian
Other,3057.0,107.82,271.62,71.89,37.6,Vegan
Other,1995.0,121.88,304.78,81.29,33.91,Balanced
Other,1303.0,83.8,209.57,55.85,26.97,Balanced
Other,2166.0,118.23,297.09,79.07,3.84,Keto
Other,1616.0,88.51,220.82,58.53,28.27,Keto
Other,1783.0,94.17,236.45,62.95,27.16,Vegan
Other,1580.0,88.55,222.41,58.89,3.55,Vegetarian
Other,2813.0,77.72,194.97,51.2,33.28,Low-Carb
Other,1779.0,122.24,305.68,82.13,48.35,Balanced
Other,1588.0,98.42,246.51,66.27,2.47,Balanced
Other,1036.0,80.66,200.21,53.7,-0.27,Balanced
Other,2282.0,81.65,204.9,54.52,49.85,Paleo
Other,1674.0,81.4,200.64,53.96,26.15,Balanced
Other,1448.0,89.91,225.65,59.71,24.28,Balanced
Other,2716.0,120.44,299.65,80.46,24.25,Low-Carb
Other,1796.0,108.7,272.21,72.66,19.84,Low-Carb
Other,2057.0,118.58,298.48,78.5,25.83,Paleo
Other,2151.0,78.59,194.33,51.48,24.14,Vegetarian
Other,2060.0,77.5,195.83,51.54,25.44,Keto
Other,2568.0,183.75,461.0,122.98,43.13,Vegan
Other,1802.0,115.21,288.69,77.18,13.76,Vegetarian
Other,2682.0,91.85,229.81,60.96,13.67,Balanced
Other,2576.0,122.51,306.05,82.4,16.25,Keto
Other,1743.0,87.42,219.69,57.89,43.9,Vegetarian
Other,3444.0,91.79,228.82,60.71,3.91,Vegetarian
Other,1701.0,121.09,302.09,80.72,15.67,Keto
Other,2073.0,73.97,184.03,48.82,1.32,Paleo
Other,2315.0,113.15,282.25,74.84,20.07,Low-Carb
Other,1766.0,94.82,234.74,62.29,18.21,Balanced
Other,1887.0,90.31,227.8,61.03,46.35,Keto
Other,2053.0,122.11,308.98,81.86,17.65,Vegetarian
Other,1759.0,74.99,188.8,50.2,0.75,Vegetarian
Other,2358.0,69.45,174.49,46.46,0.27,Balanced
Other,1818.0,84.92,212.28,56.33,34.22,Vegan
Other,2011.0,122.83,307.49,81.97,16.21,Keto
Other,2267.0,108.05,270.57,72.67,26.85,Balanced
Other,1772.0,165.8,417.07,110.69,30.79,Vegan
Other,1394.0,111.62,278.41,74.03,30.69,Vegan
Other,1719.0,77.98,193.86,51.97,1.39,Keto
Other,1613.0,77.55,194.28,51.91,24.75,Low-Carb
Other,2391.0,97.54,243.97,65.19,29.29,Low-Carb
Other,1943.0,80.05,199.49,53.43,44.65,Balanced
Other,2315.0,139.14,346.54,92.73,3.25,Paleo
Other,2137.0,126.26,315.98,83.98,9.47,Vegan
